category,n_docs,min_cluster_size,is_scaled,umap_n_neighbors,umap_n_components,min_samples,n_topics,outlier_pct,config_name
cs.CV,14163,200,False,15,5,5,20,27.11,cs.CV_mcs200_nn15_nc5_ms5
cs.CV,14163,200,False,15,5,10,18,25.62,cs.CV_mcs200_nn15_nc5_ms10
cs.CV,14163,200,False,15,10,5,21,25.76,cs.CV_mcs200_nn15_nc10_ms5
cs.CV,14163,200,False,15,10,10,22,24.75,cs.CV_mcs200_nn15_nc10_ms10
cs.CV,14163,200,False,30,5,5,20,36.77,cs.CV_mcs200_nn30_nc5_ms5
cs.CV,14163,200,False,30,5,10,18,31.51,cs.CV_mcs200_nn30_nc5_ms10
cs.CV,14163,200,False,30,10,5,21,34.17,cs.CV_mcs200_nn30_nc10_ms5
cs.CV,14163,200,False,30,10,10,19,32.12,cs.CV_mcs200_nn30_nc10_ms10
cs.CV,14163,354,True,10,5,5,12,36.03,cs.CV_mcs354_nn10_nc5_ms5
cs.CV,14163,354,True,10,5,10,13,32.42,cs.CV_mcs354_nn10_nc5_ms10
cs.CV,14163,354,True,10,10,5,2,7.51,cs.CV_mcs354_nn10_nc10_ms5
cs.CV,14163,354,True,10,10,10,11,38.67,cs.CV_mcs354_nn10_nc10_ms10
cs.CV,14163,354,True,15,5,5,10,33.91,cs.CV_mcs354_nn15_nc5_ms5
cs.CV,14163,354,True,15,5,10,11,34.41,cs.CV_mcs354_nn15_nc5_ms10
cs.CV,14163,354,True,15,10,5,2,14.41,cs.CV_mcs354_nn15_nc10_ms5
cs.CV,14163,354,True,15,10,10,11,32.7,cs.CV_mcs354_nn15_nc10_ms10
cs.CV,14163,354,True,30,5,5,6,28.25,cs.CV_mcs354_nn30_nc5_ms5
cs.CV,14163,354,True,30,5,10,12,43.63,cs.CV_mcs354_nn30_nc5_ms10
cs.CV,14163,354,True,30,10,5,12,50.17,cs.CV_mcs354_nn30_nc10_ms5
cs.CV,14163,354,True,30,10,10,11,37.83,cs.CV_mcs354_nn30_nc10_ms10
cs.IR,3076,30,False,10,5,5,26,24.41,cs.IR_mcs30_nn10_nc5_ms5
cs.IR,3076,30,False,10,5,10,23,33.65,cs.IR_mcs30_nn10_nc5_ms10
cs.IR,3076,30,False,10,10,5,23,23.41,cs.IR_mcs30_nn10_nc10_ms5
cs.IR,3076,30,False,10,10,10,25,30.17,cs.IR_mcs30_nn10_nc10_ms10
cs.IR,3076,30,False,15,5,5,26,26.69,cs.IR_mcs30_nn15_nc5_ms5
cs.IR,3076,30,False,15,5,10,13,17.17,cs.IR_mcs30_nn15_nc5_ms10
cs.IR,3076,30,False,15,10,5,26,31.21,cs.IR_mcs30_nn15_nc10_ms5
cs.IR,3076,30,False,15,10,10,19,33.22,cs.IR_mcs30_nn15_nc10_ms10
cs.IR,3076,30,False,30,5,5,24,30.33,cs.IR_mcs30_nn30_nc5_ms5
cs.IR,3076,30,False,30,5,10,20,38.88,cs.IR_mcs30_nn30_nc5_ms10
cs.IR,3076,30,False,30,10,5,20,26.63,cs.IR_mcs30_nn30_nc10_ms5
cs.IR,3076,30,False,30,10,10,21,34.3,cs.IR_mcs30_nn30_nc10_ms10
cs.IR,3076,50,False,10,5,5,16,25.46,cs.IR_mcs50_nn10_nc5_ms5
cs.IR,3076,50,False,10,5,10,13,33.0,cs.IR_mcs50_nn10_nc5_ms10
cs.IR,3076,50,False,10,10,5,14,29.13,cs.IR_mcs50_nn10_nc10_ms5
cs.IR,3076,50,False,10,10,10,15,30.3,cs.IR_mcs50_nn10_nc10_ms10
cs.IR,3076,50,False,15,5,5,17,31.57,cs.IR_mcs50_nn15_nc5_ms5
cs.IR,3076,50,False,15,5,10,10,17.3,cs.IR_mcs50_nn15_nc5_ms10
cs.IR,3076,50,False,15,10,5,12,32.54,cs.IR_mcs50_nn15_nc10_ms5
cs.IR,3076,50,False,15,10,10,12,36.44,cs.IR_mcs50_nn15_nc10_ms10
cs.IR,3076,50,False,30,5,5,14,32.83,cs.IR_mcs50_nn30_nc5_ms5
cs.IR,3076,50,False,30,5,10,15,38.88,cs.IR_mcs50_nn30_nc5_ms10
cs.IR,3076,50,False,30,10,5,14,30.07,cs.IR_mcs50_nn30_nc10_ms5
cs.IR,3076,50,False,30,10,10,14,37.03,cs.IR_mcs50_nn30_nc10_ms10
cs.IR,3076,76,True,10,5,5,2,4.65,cs.IR_mcs76_nn10_nc5_ms5
cs.IR,3076,76,True,10,5,10,2,5.33,cs.IR_mcs76_nn10_nc5_ms10
cs.IR,3076,76,True,10,10,5,10,34.82,cs.IR_mcs76_nn10_nc10_ms5
cs.IR,3076,76,True,10,10,10,11,33.68,cs.IR_mcs76_nn10_nc10_ms10
cs.IR,3076,76,True,15,5,5,3,5.23,cs.IR_mcs76_nn15_nc5_ms5
cs.IR,3076,76,True,15,5,10,5,15.34,cs.IR_mcs76_nn15_nc5_ms10
cs.IR,3076,76,True,15,10,5,9,33.55,cs.IR_mcs76_nn15_nc10_ms5
cs.IR,3076,76,True,15,10,10,7,37.78,cs.IR_mcs76_nn15_nc10_ms10
cs.IR,3076,76,True,30,5,5,7,26.17,cs.IR_mcs76_nn30_nc5_ms5
cs.IR,3076,76,True,30,5,10,6,29.29,cs.IR_mcs76_nn30_nc5_ms10
cs.IR,3076,76,True,30,10,5,11,34.1,cs.IR_mcs76_nn30_nc10_ms5
cs.IR,3076,76,True,30,10,10,6,29.68,cs.IR_mcs76_nn30_nc10_ms10
cs.IR,3076,80,False,10,5,5,11,26.92,cs.IR_mcs80_nn10_nc5_ms5
cs.IR,3076,80,False,10,5,10,9,38.52,cs.IR_mcs80_nn10_nc5_ms10
cs.IR,3076,80,False,10,10,5,10,34.82,cs.IR_mcs80_nn10_nc10_ms5
cs.IR,3076,80,False,10,10,10,10,29.55,cs.IR_mcs80_nn10_nc10_ms10
cs.IR,3076,80,False,15,5,5,2,5.14,cs.IR_mcs80_nn15_nc5_ms5
cs.IR,3076,80,False,15,5,10,3,4.52,cs.IR_mcs80_nn15_nc5_ms10
cs.IR,3076,80,False,15,10,5,9,33.55,cs.IR_mcs80_nn15_nc10_ms5
cs.IR,3076,80,False,15,10,10,7,37.78,cs.IR_mcs80_nn15_nc10_ms10
cs.IR,3076,80,False,30,5,5,7,26.17,cs.IR_mcs80_nn30_nc5_ms5
cs.IR,3076,80,False,30,5,10,6,29.29,cs.IR_mcs80_nn30_nc5_ms10
cs.IR,3076,80,False,30,10,5,10,36.67,cs.IR_mcs80_nn30_nc10_ms5
cs.IR,3076,80,False,30,10,10,6,29.68,cs.IR_mcs80_nn30_nc10_ms10
cs.IR,3076,120,False,10,5,5,6,18.73,cs.IR_mcs120_nn10_nc5_ms5
cs.IR,3076,120,False,10,5,10,6,35.4,cs.IR_mcs120_nn10_nc5_ms10
cs.IR,3076,120,False,10,10,5,8,27.76,cs.IR_mcs120_nn10_nc10_ms5
cs.IR,3076,120,False,10,10,10,5,22.07,cs.IR_mcs120_nn10_nc10_ms10
cs.IR,3076,120,False,15,5,5,2,5.14,cs.IR_mcs120_nn15_nc5_ms5
cs.IR,3076,120,False,15,5,10,3,4.52,cs.IR_mcs120_nn15_nc5_ms10
cs.IR,3076,120,False,15,10,5,4,16.25,cs.IR_mcs120_nn15_nc10_ms5
cs.IR,3076,120,False,15,10,10,2,11.64,cs.IR_mcs120_nn15_nc10_ms10
cs.IR,3076,120,False,30,5,5,5,24.74,cs.IR_mcs120_nn30_nc5_ms5
cs.IR,3076,120,False,30,5,10,2,11.96,cs.IR_mcs120_nn30_nc5_ms10
cs.IR,3076,120,False,30,10,5,9,39.76,cs.IR_mcs120_nn30_nc10_ms5
cs.IR,3076,120,False,30,10,10,2,8.62,cs.IR_mcs120_nn30_nc10_ms10
cs.IR,3076,200,False,10,5,5,5,22.98,cs.IR_mcs200_nn10_nc5_ms5
cs.IR,3076,200,False,10,5,10,4,25.52,cs.IR_mcs200_nn10_nc5_ms10
cs.IR,3076,200,False,10,10,5,4,18.34,cs.IR_mcs200_nn10_nc10_ms5
cs.IR,3076,200,False,10,10,10,5,22.07,cs.IR_mcs200_nn10_nc10_ms10
cs.IR,3076,200,False,15,5,5,2,5.14,cs.IR_mcs200_nn15_nc5_ms5
cs.IR,3076,200,False,15,5,10,3,4.52,cs.IR_mcs200_nn15_nc5_ms10
cs.IR,3076,200,False,15,10,5,2,11.54,cs.IR_mcs200_nn15_nc10_ms5
cs.IR,3076,200,False,15,10,10,2,11.64,cs.IR_mcs200_nn15_nc10_ms10
cs.IR,3076,200,False,30,5,5,2,12.09,cs.IR_mcs200_nn30_nc5_ms5
